Locus	ProteinID	uniprot_id	Gene	CDS
b0308	NP_414842.4	P77433	ykgG	lcl|NC_000913.3_cds_NP_414842.4_303
b0310	NP_414844.1	P77180	ykgH	lcl|NC_000913.3_cds_NP_414844.1_304
b0311	NP_414845.1	P17444	betA	lcl|NC_000913.3_cds_NP_414845.1_305
b0312	NP_414846.1	P17445	betB	lcl|NC_000913.3_cds_NP_414846.1_306
b0313	NP_414847.3	P17446	betI	lcl|NC_000913.3_cds_NP_414847.3_307
b0314	NP_414848.1	P0ABC9	betT	lcl|NC_000913.3_cds_NP_414848.1_308
b4730	YP_009518747.1	P0DPN0	yahV	lcl|NC_000913.3_cds_YP_009518747.1_309
b0315	NP_414849.1	P21514	pdeL	lcl|NC_000913.3_cds_NP_414849.1_310
b0316	NP_414850.1	P77700	yahB	lcl|NC_000913.3_cds_NP_414850.1_311
b0317	NP_414851.1	P77219	yahC	lcl|NC_000913.3_cds_NP_414851.1_312
b0318	NP_414852.1	P77736	yahD	lcl|NC_000913.3_cds_NP_414852.1_313
b0319	NP_414853.1	P77297	yahE	lcl|NC_000913.3_cds_NP_414853.1_314
b0320	NP_414854.1	P77187	yahF	lcl|NC_000913.3_cds_NP_414854.1_315
b0321	NP_414855.1	P77221	yahG	lcl|NC_000913.3_cds_NP_414855.1_316
b0322	YP_009518748.2	Q2EEQ3	yahH	lcl|NC_000913.3_cds_YP_009518748.2_317
b0323	NP_414857.1	P77624	yahI	lcl|NC_000913.3_cds_NP_414857.1_318
b0324	NP_414858.1	P77554	yahJ	lcl|NC_000913.3_cds_NP_414858.1_319
b0325	NP_414859.1	P75691	yahK	lcl|NC_000913.3_cds_NP_414859.1_320
b0326	NP_414860.1	P77393	yahL	lcl|NC_000913.3_cds_NP_414860.1_321
b0327	NP_414861.2	P75692	yahM	lcl|NC_000913.3_cds_NP_414861.2_322
b0328	NP_414862.1	P75693	yahN	lcl|NC_000913.3_cds_NP_414862.1_323
b0329	NP_414863.1	P75694	yahO	lcl|NC_000913.3_cds_NP_414863.1_324
b0330	NP_414864.1	P77743	prpR	lcl|NC_000913.3_cds_NP_414864.1_325
b0331	NP_414865.1	P77541	prpB	lcl|NC_000913.3_cds_NP_414865.1_326
b0333	NP_414867.1	P31660	prpC	lcl|NC_000913.3_cds_NP_414867.1_327
b0334	NP_414868.1	P77243	prpD	lcl|NC_000913.3_cds_NP_414868.1_328
b0335	NP_414869.1	P77495	prpE	lcl|NC_000913.3_cds_NP_414869.1_329
b0336	NP_414870.1	P0AA82	codB	lcl|NC_000913.3_cds_NP_414870.1_330
b0337	NP_414871.1	P25524	codA	lcl|NC_000913.3_cds_NP_414871.1_331
b0338	NP_414872.3	P27111	cynR	lcl|NC_000913.3_cds_NP_414872.3_332
b0339	NP_414873.1	P0ABE9	cynT	lcl|NC_000913.3_cds_NP_414873.1_333
b0340	NP_414874.1	P00816	cynS	lcl|NC_000913.3_cds_NP_414874.1_334
b0341	NP_414875.1	P17583	cynX	lcl|NC_000913.3_cds_NP_414875.1_335
b0342	NP_414876.1	P07464	lacA	lcl|NC_000913.3_cds_NP_414876.1_336
b0343	NP_414877.1	P02920	lacY	lcl|NC_000913.3_cds_NP_414877.1_337
b0344	NP_414878.1	P00722	lacZ	lcl|NC_000913.3_cds_NP_414878.1_338
b0345	NP_414879.3	P03023	lacI	lcl|NC_000913.3_cds_NP_414879.3_339
b0346	NP_414880.2	P77569	mhpR	lcl|NC_000913.3_cds_NP_414880.2_340
b0347	NP_414881.1	P77397	mhpA	lcl|NC_000913.3_cds_NP_414881.1_341
b0348	NP_414882.1	P0ABR9	mhpB	lcl|NC_000913.3_cds_NP_414882.1_342
b0349	NP_414883.5	P77044	mhpC	lcl|NC_000913.3_cds_NP_414883.5_343
b0350	NP_414884.2	P77608	mhpD	lcl|NC_000913.3_cds_NP_414884.2_344
b0351	NP_414885.1	P77580	mhpF	lcl|NC_000913.3_cds_NP_414885.1_345
b0352	NP_414886.1	P51020	mhpE	lcl|NC_000913.3_cds_NP_414886.1_346
b0353	NP_414887.2	P77589	mhpT	lcl|NC_000913.3_cds_NP_414887.2_347
b0354	NP_414888.4	P51024	yaiL	lcl|NC_000913.3_cds_NP_414888.4_348
b0355	NP_414889.1	P51025	frmB	lcl|NC_000913.3_cds_NP_414889.1_349
b0356	NP_414890.1	P25437	frmA	lcl|NC_000913.3_cds_NP_414890.1_350
b0357	NP_414891.4	P0AAP3	frmR	lcl|NC_000913.3_cds_NP_414891.4_351
b0358	NP_414892.1	Q47534	yaiO	lcl|NC_000913.3_cds_NP_414892.1_352
b4579	NA	NA	yaiX	NA
b0360	NP_414894.2	P0CF40	insC1	lcl|NC_000913.3_cds_NP_414894.2_354
b0361	NP_414895.1	P0CF53	insD1	lcl|NC_000913.3_cds_NP_414895.1_355
b0363	NP_414897.1	Q47536	yaiP	lcl|NC_000913.3_cds_NP_414897.1_356
b4731	YP_009518749.1	P0DPN1	ykiC	lcl|NC_000913.3_cds_YP_009518749.1_357
b0364	NP_414898.4	P71311	yaiS	lcl|NC_000913.3_cds_NP_414898.4_358
b0365	NP_414899.2	Q47537	tauA	lcl|NC_000913.3_cds_NP_414899.2_359
b0366	NP_414900.1	Q47538	tauB	lcl|NC_000913.3_cds_NP_414900.1_360
b0367	NP_414901.1	Q47539	tauC	lcl|NC_000913.3_cds_NP_414901.1_361
b0368	NP_414902.1	P37610	tauD	lcl|NC_000913.3_cds_NP_414902.1_362
b0369	NP_414903.4	P0ACB2	hemB	lcl|NC_000913.3_cds_NP_414903.4_363
b4580	NA	NA	yaiT	NA
b4767	YP_010051175.1	P0DSE5	ytiB	lcl|NC_000913.3_cds_YP_010051175.1_365
b0372	NP_414906.1	P0CF80	insF2	lcl|NC_000913.3_cds_NP_414906.1_366
b0373	NP_414907.2	P0CF67	insE2	lcl|NC_000913.3_cds_NP_414907.2_367
b0375	NP_414909.2	P0AAP5	iprA	lcl|NC_000913.3_cds_NP_414909.2_368
b0376	NP_414910.1	P0AD70	ampH	lcl|NC_000913.3_cds_NP_414910.1_369
b0377	NP_414911.1	P0AFY6	sbmA	lcl|NC_000913.3_cds_NP_414911.1_370
b0378	NP_414912.1	P77562	yaiW	lcl|NC_000913.3_cds_NP_414912.1_371
b0379	NP_414913.1	P0AAP7	yaiY	lcl|NC_000913.3_cds_NP_414913.1_372
b0380	NP_414914.2	P0AAQ0	yaiZ	lcl|NC_000913.3_cds_NP_414914.2_373
b0381	NP_414915.1	P0A6J8	ddlA	lcl|NC_000913.3_cds_NP_414915.1_374
b0382	NP_414916.1	P0AAN9	iraP	lcl|NC_000913.3_cds_NP_414916.1_375
b0383	NP_414917.2	P00634	phoA	lcl|NC_000913.3_cds_NP_414917.2_376
b0384	NP_414918.4	P0AFM4	psiF	lcl|NC_000913.3_cds_NP_414918.4_377
b0385	NP_414919.1	P0AAP1	dgcC	lcl|NC_000913.3_cds_NP_414919.1_378
b0386	NP_414920.1	P0A9L8	proC	lcl|NC_000913.3_cds_NP_414920.1_379
b0387	NP_414921.2	P0A8D3	yaiI	lcl|NC_000913.3_cds_NP_414921.2_380
b0388	NP_414922.1	P0A6E1	aroL	lcl|NC_000913.3_cds_NP_414922.1_381
b0389	NP_414923.1	P0AAN5	yaiA	lcl|NC_000913.3_cds_NP_414923.1_382
b0390	NP_414924.1	P0AE28	aroM	lcl|NC_000913.3_cds_NP_414924.1_383
b0391	NP_414925.1	P0C037	ppnP	lcl|NC_000913.3_cds_NP_414925.1_384
b4732	YP_009518750.1	P0DPN2	ykiD	lcl|NC_000913.3_cds_YP_009518750.1_385
b0393	NP_414927.1	P36767	rdgC	lcl|NC_000913.3_cds_NP_414927.1_386
b0394	NP_414928.2	P23917	mak	lcl|NC_000913.3_cds_NP_414928.2_387
b0396	NP_414930.3	P23910	araJ	lcl|NC_000913.3_cds_NP_414930.3_388
b0397	NP_414931.1	P13458	sbcC	lcl|NC_000913.3_cds_NP_414931.1_389
b0398	NP_414932.1	P0AG76	sbcD	lcl|NC_000913.3_cds_NP_414932.1_390
b0399	NP_414933.1	P0AFJ5	phoB	lcl|NC_000913.3_cds_NP_414933.1_391
b0400	NP_414934.1	P08400	phoR	lcl|NC_000913.3_cds_NP_414934.1_392
b0401	NP_414935.1	P0AD99	brnQ	lcl|NC_000913.3_cds_NP_414935.1_393
b0402	NP_414936.1	P0AAE2	proY	lcl|NC_000913.3_cds_NP_414936.1_394
b0403	NP_414937.2	P21517	malZ	lcl|NC_000913.3_cds_NP_414937.2_395
b0404	NP_414938.1	P21515	acpH	lcl|NC_000913.3_cds_NP_414938.1_396
b0405	NP_414939.1	P0A7F9	queA	lcl|NC_000913.3_cds_NP_414939.1_397
b0406	NP_414940.1	P0A847	tgt	lcl|NC_000913.3_cds_NP_414940.1_398
b0407	NP_414941.1	P0ADZ7	yajC	lcl|NC_000913.3_cds_NP_414941.1_399
b0408	NP_414942.1	P0AG90	secD	lcl|NC_000913.3_cds_NP_414942.1_400
b0409	NP_414943.1	P0AG93	secF	lcl|NC_000913.3_cds_NP_414943.1_401
b0410	NP_414944.1	P0AAQ2	yajD	lcl|NC_000913.3_cds_NP_414944.1_402
b0411	NP_414945.1	P0A927	tsx	lcl|NC_000913.3_cds_NP_414945.1_403
b0412	NP_414946.4	P46122	yajI	lcl|NC_000913.3_cds_NP_414946.4_404
b0413	NP_414947.1	P0A8D0	nrdR	lcl|NC_000913.3_cds_NP_414947.1_405
b0414	NP_414948.1	P25539	ribD	lcl|NC_000913.3_cds_NP_414948.1_406
b0415	NP_414949.1	P61714	ribE	lcl|NC_000913.3_cds_NP_414949.1_407
b0416	NP_414950.1	P0A780	nusB	lcl|NC_000913.3_cds_NP_414950.1_408
b0417	NP_414951.1	P0AGG0	thiL	lcl|NC_000913.3_cds_NP_414951.1_409
b0418	NP_414952.1	P18200	pgpA	lcl|NC_000913.3_cds_NP_414952.1_410
b0419	NP_414953.2	P77735	yajO	lcl|NC_000913.3_cds_NP_414953.2_411
b0420	NP_414954.1	P77488	dxs	lcl|NC_000913.3_cds_NP_414954.1_412
b0421	NP_414955.1	P22939	ispA	lcl|NC_000913.3_cds_NP_414955.1_413
b0422	NP_414956.1	P0A8G9	xseB	lcl|NC_000913.3_cds_NP_414956.1_414
b0423	NP_414957.1	P77718	thiI	lcl|NC_000913.3_cds_NP_414957.1_415
b0424	NP_414958.4	Q46948	yajL	lcl|NC_000913.3_cds_NP_414958.4_416
b0425	NP_414959.1	P0A9J4	panE	lcl|NC_000913.3_cds_NP_414959.1_417
b0426	NP_414960.2	P0A8E7	yajQ	lcl|NC_000913.3_cds_NP_414960.2_418
b0427	NP_414961.4	P77726	yajR	lcl|NC_000913.3_cds_NP_414961.4_419
b0428	NP_414962.1	P0AEA5	cyoE	lcl|NC_000913.3_cds_NP_414962.1_420
b0429	NP_414963.1	P0ABJ6	cyoD	lcl|NC_000913.3_cds_NP_414963.1_421
b0430	NP_414964.1	P0ABJ3	cyoC	lcl|NC_000913.3_cds_NP_414964.1_422
b0431	NP_414965.1	P0ABI8	cyoB	lcl|NC_000913.3_cds_NP_414965.1_423
b0432	NP_414966.1	P0ABJ1	cyoA	lcl|NC_000913.3_cds_NP_414966.1_424
b0433	NP_414967.1	P0AE16	ampG	lcl|NC_000913.3_cds_NP_414967.1_425
b0434	NP_414968.4	P0ADA5	yajG	lcl|NC_000913.3_cds_NP_414968.4_426
b0435	NP_414969.4	P0ABE2	bolA	lcl|NC_000913.3_cds_NP_414969.4_427
b0436	NP_414970.1	P0A850	tig	lcl|NC_000913.3_cds_NP_414970.1_428
b0437	NP_414971.1	P0A6G7	clpP	lcl|NC_000913.3_cds_NP_414971.1_429
b0438	NP_414972.1	P0A6H1	clpX	lcl|NC_000913.3_cds_NP_414972.1_430
b0439	NP_414973.1	P0A9M0	lon	lcl|NC_000913.3_cds_NP_414973.1_431
b0440	NP_414974.1	P0ACF4	hupB	lcl|NC_000913.3_cds_NP_414974.1_432
b0441	NP_414975.1	P0ADY1	ppiD	lcl|NC_000913.3_cds_NP_414975.1_433
b0442	NP_414976.1	P0AAR8	ybaV	lcl|NC_000913.3_cds_NP_414976.1_434
b0443	NP_414977.1	P77712	fadM	lcl|NC_000913.3_cds_NP_414977.1_435
b0444	NP_414978.1	P77756	queC	lcl|NC_000913.3_cds_NP_414978.1_436
b0445	NP_414979.1	P46890	ybaE	lcl|NC_000913.3_cds_NP_414979.1_437
b0446	NP_414980.2	P46891	cof	lcl|NC_000913.3_cds_NP_414980.2_438
b0447	NP_414981.4	P0ACJ5	decR	lcl|NC_000913.3_cds_NP_414981.4_439
b0448	NP_414982.1	P77265	mdlA	lcl|NC_000913.3_cds_NP_414982.1_440
b0449	NP_414983.1	P0AAG5	mdlB	lcl|NC_000913.3_cds_NP_414983.1_441
b0450	NP_414984.1	P0AC55	glnK	lcl|NC_000913.3_cds_NP_414984.1_442
b0451	NP_414985.1	P69681	amtB	lcl|NC_000913.3_cds_NP_414985.1_443
b0452	NP_414986.1	P0AGG2	tesB	lcl|NC_000913.3_cds_NP_414986.1_444
b0453	NP_414987.3	P77717	ybaY	lcl|NC_000913.3_cds_NP_414987.3_445
b0454	NP_414988.1	P0AFP2	ybaZ	lcl|NC_000913.3_cds_NP_414988.1_446
b0456	NP_414989.1	P0AAQ6	ybaA	lcl|NC_000913.3_cds_NP_414989.1_447
b0457	NP_414990.2	P77473	pdeB	lcl|NC_000913.3_cds_NP_414990.2_448
b0458	NP_414991.4	P0AAS0	ylaC	lcl|NC_000913.3_cds_NP_414991.4_449
b0459	NP_414992.1	P77791	maa	lcl|NC_000913.3_cds_NP_414992.1_450
b0460	NP_414993.1	P0ACE3	hha	lcl|NC_000913.3_cds_NP_414993.1_451
b0461	NP_414994.1	P0AAR0	tomB	lcl|NC_000913.3_cds_NP_414994.1_452
b0462	NP_414995.1	P31224	acrB	lcl|NC_000913.3_cds_NP_414995.1_453
b0463	NP_414996.1	P0AE06	acrA	lcl|NC_000913.3_cds_NP_414996.1_454
b0464	NP_414997.1	P0ACS9	acrR	lcl|NC_000913.3_cds_NP_414997.1_455
b0465	NP_414998.1	P77338	mscK	lcl|NC_000913.3_cds_NP_414998.1_456
b0466	NP_414999.1	P45807	ybaM	lcl|NC_000913.3_cds_NP_414999.1_457
b0467	NP_415000.1	P23862	priC	lcl|NC_000913.3_cds_NP_415000.1_458
b0468	NP_415001.1	P0AAR5	ybaN	lcl|NC_000913.3_cds_NP_415001.1_459
b0469	NP_415002.1	P69503	apt	lcl|NC_000913.3_cds_NP_415002.1_460
b0470	NP_415003.1	NA	dnaX	lcl|NC_000913.3_cds_NP_415003.1_461
b0470	YP_009518751.1	P06710	dnaX	lcl|NC_000913.3_cds_YP_009518751.1_462
b0471	NP_415004.1	P0A8B5	ybaB	lcl|NC_000913.3_cds_NP_415004.1_463
b0472	NP_415005.1	P0A7H6	recR	lcl|NC_000913.3_cds_NP_415005.1_464
b0473	NP_415006.1	P0A6Z3	htpG	lcl|NC_000913.3_cds_NP_415006.1_465
b0474	NP_415007.1	P69441	adk	lcl|NC_000913.3_cds_NP_415007.1_466
b0475	NP_415008.1	P23871	hemH	lcl|NC_000913.3_cds_NP_415008.1_467
b0476	NP_415009.1	P23872	aes	lcl|NC_000913.3_cds_NP_415009.1_468
b0477	NP_415010.1	P0AEW6	gsk	lcl|NC_000913.3_cds_NP_415010.1_469
b0478	NP_415011.1	P39830	ybaL	lcl|NC_000913.3_cds_NP_415011.1_470
b0479	NP_415012.1	P52067	fsr	lcl|NC_000913.3_cds_NP_415012.1_471
b0480	NP_415013.1	P07024	ushA	lcl|NC_000913.3_cds_NP_415013.1_472
b0481	NP_415014.1	P0AAR3	ybaK	lcl|NC_000913.3_cds_NP_415014.1_473
b0482	NP_415015.1	P77301	ybaP	lcl|NC_000913.3_cds_NP_415015.1_474
b0483	NP_415016.4	P0A9T6	ybaQ	lcl|NC_000913.3_cds_NP_415016.4_475
b0484	NP_415017.1	Q59385	copA	lcl|NC_000913.3_cds_NP_415017.1_476
b0484	YP_009518752.1	Q59385	copA	lcl|NC_000913.3_cds_YP_009518752.1_477
b0485	NP_415018.1	P77454	glsA	lcl|NC_000913.3_cds_NP_415018.1_478
b0486	NP_415019.1	P77400	ybaT	lcl|NC_000913.3_cds_NP_415019.1_479
b0487	NP_415020.1	P0A9G4	cueR	lcl|NC_000913.3_cds_NP_415020.1_480
b0488	NP_415021.2	P0AAS3	ybbJ	lcl|NC_000913.3_cds_NP_415021.2_481
b0489	NP_415022.1	P0AA53	qmcA	lcl|NC_000913.3_cds_NP_415022.1_482
b0490	NP_415023.1	P77279	fetA	lcl|NC_000913.3_cds_NP_415023.1_483
b0491	NP_415024.4	P77307	fetB	lcl|NC_000913.3_cds_NP_415024.4_484
b0492	NP_415025.4	P77395	cnoX	lcl|NC_000913.3_cds_NP_415025.4_485
b0493	NP_415026.1	P0AFP4	ybbO	lcl|NC_000913.3_cds_NP_415026.1_486
b0494	NP_415027.1	P0ADA1	tesA	lcl|NC_000913.3_cds_NP_415027.1_487
b0495	NP_415028.1	P0A9T8	ybbA	lcl|NC_000913.3_cds_NP_415028.1_488
b0496	NP_415029.1	P77504	ybbP	lcl|NC_000913.3_cds_NP_415029.1_489
b0497	NP_415030.1	P16919	rhsD	lcl|NC_000913.3_cds_NP_415030.1_490
b0498	NP_415031.1	P33668	ybbC	lcl|NC_000913.3_cds_NP_415031.1_491
b0502	YP_009518753.1	P77688	ylbG	lcl|NC_000913.3_cds_YP_009518753.1_492
b0503	NP_415036.1	P33667	selU	lcl|NC_000913.3_cds_NP_415036.1_493
b0504	NP_415037.1	P0ACR0	allS	lcl|NC_000913.3_cds_NP_415037.1_494
b0505	NP_415038.1	P77731	allA	lcl|NC_000913.3_cds_NP_415038.1_495
b0506	NP_415039.1	P0ACN4	allR	lcl|NC_000913.3_cds_NP_415039.1_496
b0507	NP_415040.1	P0AEP7	gcl	lcl|NC_000913.3_cds_NP_415040.1_497
b0508	NP_415041.1	P30147	hyi	lcl|NC_000913.3_cds_NP_415041.1_498
b0509	NP_415042.1	P77161	glxR	lcl|NC_000913.3_cds_NP_415042.1_499
b0511	NP_415044.4	P75712	ybbW	lcl|NC_000913.3_cds_NP_415044.4_500
b0512	NP_415045.1	P77671	allB	lcl|NC_000913.3_cds_NP_415045.1_501
b0513	NP_415046.4	P77328	ybbY	lcl|NC_000913.3_cds_NP_415046.4_502
b0514	NP_415047.1	P77364	glxK	lcl|NC_000913.3_cds_NP_415047.1_503
b0515	NP_415048.1	P75713	allE	lcl|NC_000913.3_cds_NP_415048.1_504
b0516	NP_415049.1	P77425	allC	lcl|NC_000913.3_cds_NP_415049.1_505
b0517	NP_415050.1	P77555	allD	lcl|NC_000913.3_cds_NP_415050.1_506
b0518	NP_415051.1	Q47208	fdrA	lcl|NC_000913.3_cds_NP_415051.1_507
b4572	YP_009029994.1	P77129	ylbE	lcl|NC_000913.3_cds_YP_009029994.1_508
b0520	NP_415053.1	P0AAS5	ylbF	lcl|NC_000913.3_cds_NP_415053.1_509
b0521	NP_415054.1	P37306	ybcF	lcl|NC_000913.3_cds_NP_415054.1_510
b0522	NP_415055.1	P09029	purK	lcl|NC_000913.3_cds_NP_415055.1_511
b0523	NP_415056.1	P0AG18	purE	lcl|NC_000913.3_cds_NP_415056.1_512
b0524	NP_415057.1	P43341	lpxH	lcl|NC_000913.3_cds_NP_415057.1_513
b0525	NP_415058.1	P23869	ppiB	lcl|NC_000913.3_cds_NP_415058.1_514
b0526	NP_415059.1	P21888	cysS	lcl|NC_000913.3_cds_NP_415059.1_515
b0527	NP_415060.1	P45570	ybcI	lcl|NC_000913.3_cds_NP_415060.1_516
b0528	NP_415061.2	P0AAS7	ybcJ	lcl|NC_000913.3_cds_NP_415061.2_517
b0529	NP_415062.1	P24186	folD	lcl|NC_000913.3_cds_NP_415062.1_518
b0530	NP_415063.4	P0ABW5	sfmA	lcl|NC_000913.3_cds_NP_415063.4_519
b0531	NP_415064.1	P77249	sfmC	lcl|NC_000913.3_cds_NP_415064.1_520
b0532	NP_415065.1	P77468	sfmD	lcl|NC_000913.3_cds_NP_415065.1_521
b0533	NP_415066.2	P75715	sfmH	lcl|NC_000913.3_cds_NP_415066.2_522
b0534	NP_415067.1	P38052	sfmF	lcl|NC_000913.3_cds_NP_415067.1_523
b0535	NP_415068.1	P0AEL8	fimZ	lcl|NC_000913.3_cds_NP_415068.1_524
b0537	NP_415069.1	P24218	intD	lcl|NC_000913.3_cds_NP_415069.1_525
b0542	NA	NA	renD	NA
b0540	NP_415072.2	P0CF68	insE3	lcl|NC_000913.3_cds_NP_415072.2_527
b0541	NP_415073.1	P0CF81	insF3	lcl|NC_000913.3_cds_NP_415073.1_528
b0543	NP_415075.1	P23895	emrE	lcl|NC_000913.3_cds_NP_415075.1_529
b4733	YP_009518754.1	P0DPN3	ylcJ	lcl|NC_000913.3_cds_YP_009518754.1_530
b0544	NP_415076.1	P77698	ybcK	lcl|NC_000913.3_cds_NP_415076.1_531
b0545	NP_415077.1	P77368	ybcL	lcl|NC_000913.3_cds_NP_415077.1_532
b0546	NP_415078.1	P77634	ybcM	lcl|NC_000913.3_cds_NP_415078.1_533
b4588	YP_001165308.1	Q47268	ylcH	lcl|NC_000913.3_cds_YP_001165308.1_534
b0547	NP_415079.1	Q47269	ybcN	lcl|NC_000913.3_cds_NP_415079.1_535
b0548	NP_415080.1	Q47270	ninE	lcl|NC_000913.3_cds_NP_415080.1_536
b0549	NP_415081.1	P68661	ybcO	lcl|NC_000913.3_cds_NP_415081.1_537
b0550	NP_415082.1	P0AG74	rusA	lcl|NC_000913.3_cds_NP_415082.1_538
b4509	YP_588439.1	Q47272	ylcG	lcl|NC_000913.3_cds_YP_588439.1_539
b0551	NP_415083.1	Q47274	quuD	lcl|NC_000913.3_cds_NP_415083.1_540
b0553	NA	NA	nmpC	NA
b0552	NP_415084.2	P0CE50	insH2	lcl|NC_000913.3_cds_NP_415084.2_542
b0554	NP_415086.1	P0A9R2	essD	lcl|NC_000913.3_cds_NP_415086.1_543
b0555	NP_415087.1	P78285	rrrD	lcl|NC_000913.3_cds_NP_415087.1_544
b0556	NP_415088.1	P75719	rzpD	lcl|NC_000913.3_cds_NP_415088.1_545
b4510	YP_588440.1	P58041	rzoD	lcl|NC_000913.3_cds_YP_588440.1_546
b0557	NP_415089.1	P77330	borD	lcl|NC_000913.3_cds_NP_415089.1_547
b0558	NP_415090.2	P77598	ybcV	lcl|NC_000913.3_cds_NP_415090.2_548
b0559	NP_415091.1	P64435	ybcW	lcl|NC_000913.3_cds_NP_415091.1_549
b4589	YP_001165309.1	A5A607	ylcI	lcl|NC_000913.3_cds_YP_001165309.1_550
b0560	NP_415092.1	P31062	nohD	lcl|NC_000913.3_cds_NP_415092.1_551
b0561	YP_009518755.1	P77699	tfaD	lcl|NC_000913.3_cds_YP_009518755.1_552
b0563	YP_009518756.1	P77087	tfaX	lcl|NC_000913.3_cds_YP_009518756.1_553
b0564	NP_415096.1	P05052	appY	lcl|NC_000913.3_cds_NP_415096.1_554
b0565	NP_415097.1	P09169	ompT	lcl|NC_000913.3_cds_NP_415097.1_555
b0566	NP_415098.1	P10805	envY	lcl|NC_000913.3_cds_NP_415098.1_556
b0567	NP_415099.1	P37325	ybcH	lcl|NC_000913.3_cds_NP_415099.1_557
b0568	NP_415100.1	P31600	nfrA	lcl|NC_000913.3_cds_NP_415100.1_558
b0569	NP_415101.1	P0AFA5	nfrB	lcl|NC_000913.3_cds_NP_415101.1_559
b0570	NP_415102.1	P77485	cusS	lcl|NC_000913.3_cds_NP_415102.1_560
b0571	NP_415103.1	P0ACZ8	cusR	lcl|NC_000913.3_cds_NP_415103.1_561
b0572	NP_415104.1	P77211	cusC	lcl|NC_000913.3_cds_NP_415104.1_562
b0573	NP_415105.1	P77214	cusF	lcl|NC_000913.3_cds_NP_415105.1_563
b0574	NP_415106.1	P77239	cusB	lcl|NC_000913.3_cds_NP_415106.1_564
b0575	NP_415107.1	P38054	cusA	lcl|NC_000913.3_cds_NP_415107.1_565
b0576	NP_415108.1	P24207	pheP	lcl|NC_000913.3_cds_NP_415108.1_566
b0577	NP_415109.1	P0AAT4	ybdG	lcl|NC_000913.3_cds_NP_415109.1_567
b0578	NP_415110.1	P38489	nfsB	lcl|NC_000913.3_cds_NP_415110.1_568
b0579	NP_415111.1	P0AAT2	ybdF	lcl|NC_000913.3_cds_NP_415111.1_569
b0580	NP_415112.1	P77506	ybdJ	lcl|NC_000913.3_cds_NP_415112.1_570
b0581	NP_415113.1	P77213	ybdK	lcl|NC_000913.3_cds_NP_415113.1_571
b4415	YP_025295.1	P77091	hokE	lcl|NC_000913.3_cds_YP_025295.1_572
b0582	NP_415114.1	P0CF92	insL2	lcl|NC_000913.3_cds_NP_415114.1_573
b0583	NP_415115.2	P19925	entD	lcl|NC_000913.3_cds_NP_415115.2_574
b0584	NP_415116.1	P05825	fepA	lcl|NC_000913.3_cds_NP_415116.1_575
b0585	NP_415117.2	P13039	fes	lcl|NC_000913.3_cds_NP_415117.2_576
b4511	YP_588441.1	P18393	ybdZ	lcl|NC_000913.3_cds_YP_588441.1_577
b0586	NP_415118.1	P11454	entF	lcl|NC_000913.3_cds_NP_415118.1_578
b0587	NP_415119.1	P26266	fepE	lcl|NC_000913.3_cds_NP_415119.1_579
b0588	NP_415120.1	P23878	fepC	lcl|NC_000913.3_cds_NP_415120.1_580
b0589	NP_415121.1	P23877	fepG	lcl|NC_000913.3_cds_NP_415121.1_581
b0590	NP_415122.1	P23876	fepD	lcl|NC_000913.3_cds_NP_415122.1_582
b0591	NP_415123.1	P24077	entS	lcl|NC_000913.3_cds_NP_415123.1_583
b0592	NP_415124.1	P0AEL6	fepB	lcl|NC_000913.3_cds_NP_415124.1_584
b0593	NP_415125.1	P0AEJ2	entC	lcl|NC_000913.3_cds_NP_415125.1_585
b0594	NP_415126.1	P10378	entE	lcl|NC_000913.3_cds_NP_415126.1_586
b0595	NP_415127.1	P0ADI4	entB	lcl|NC_000913.3_cds_NP_415127.1_587
b0596	NP_415128.1	P15047	entA	lcl|NC_000913.3_cds_NP_415128.1_588
b0597	NP_415129.1	P0A8Y8	entH	lcl|NC_000913.3_cds_NP_415129.1_589
b0598	NP_415130.1	P15078	cstA	lcl|NC_000913.3_cds_NP_415130.1_590
b4512	YP_588442.1	P0AAS9	ybdD	lcl|NC_000913.3_cds_YP_588442.1_591
b0599	NP_415132.1	P45579	hcxA	lcl|NC_000913.3_cds_NP_415132.1_592
b0600	NP_415133.1	P77806	ybdL	lcl|NC_000913.3_cds_NP_415133.1_593
b0601	NP_415134.1	P77174	ybdM	lcl|NC_000913.3_cds_NP_415134.1_594
b0602	NP_415135.1	P77216	ybdN	lcl|NC_000913.3_cds_NP_415135.1_595
b0603	NP_415136.1	P77746	ybdO	lcl|NC_000913.3_cds_NP_415136.1_596
b0604	NP_415137.2	P77202	dsbG	lcl|NC_000913.3_cds_NP_415137.2_597
b0605	NP_415138.1	P0AE08	ahpC	lcl|NC_000913.3_cds_NP_415138.1_598
b0606	NP_415139.2	P35340	ahpF	lcl|NC_000913.3_cds_NP_415139.2_599
b0607	NP_415140.1	P39177	uspG	lcl|NC_000913.3_cds_NP_415140.1_600
b0608	NP_415141.1	P77316	ybdR	lcl|NC_000913.3_cds_NP_415141.1_601
b4734	YP_009518757.1	P0DPN4	yldA	lcl|NC_000913.3_cds_YP_009518757.1_602
b0610	NP_415143.1	P0AFW4	rnk	lcl|NC_000913.3_cds_NP_415143.1_603
b0611	NP_415144.1	P21338	rna	lcl|NC_000913.3_cds_NP_415144.1_604
b0612	NP_415145.1	P0AE74	citT	lcl|NC_000913.3_cds_NP_415145.1_605
